Metric,Logistic Regression,MLP Neural Network
Accuracy,0.5346633416458852,0.7456359102244389
Precision (macro),0.3308175695954014,0.6326336291175914
Recall (macro),0.48788064261771563,0.389067096544442
F1 (macro),0.35887855827086473,0.4268222635207865
Training Time (s),30.7,20.88
